Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,10,D01,M,00:13:19.72,0.210,D3
1,10,D02,M,00:13:20.61,0.204,D3
1,10,D03,M,00:13:21.50,0.205,D3
1,10,D04,M,00:13:22.39,0.217,A3
1,10,D05,M,00:13:23.28,0.215,A3
1,10,D06,M,00:13:24.16,0.219,A3
1,11,A01,M,00:14:02.77,0.077,GSH 0
1,11,A02,M,00:14:03.66,0.204,GSH 8
1,11,A03,M,00:14:04.55,0.352,GSH 16
1,11,A04,M,00:14:05.44,0.561,GSH 24
1,11,A05,M,00:14:06.33,0.785,GSH 32
1,11,A06,M,00:14:07.22,1.033,GSH 40
1,11,A07,M,00:14:08.11,0.241,PC 2
1,11,A08,M,00:14:09.00,0.112,PC 10
1,11,A09,M,00:14:09.89,0.234,PC 20
1,11,A10,M,00:14:10.78,0.290,A1
1,11,A11,M,00:14:11.66,0.281,A1
1,11,A12,M,00:14:12.55,0.297,A1
1,11,B01,M,00:14:15.89,0.280,A2
1,11,B02,M,00:14:16.78,0.295,A2
1,11,B03,M,00:14:17.66,0.298,A2
1,11,B04,M,00:14:18.55,0.234,B1
1,11,B05,M,00:14:19.44,0.222,B1
1,11,B06,M,00:14:20.33,0.225,B1
1,11,B07,M,00:14:21.22,0.272,B2
1,11,B08,M,00:14:22.11,0.234,B2
1,11,B09,M,00:14:23.00,0.230,B2
1,11,B10,M,00:14:23.89,0.205,B3
1,11,B11,M,00:14:24.78,0.243,B3
1,11,B12,M,00:14:25.66,0.176,B3
1,11,C01,M,00:14:29.00,0.185,B4
1,11,C02,M,00:14:29.89,0.278,B4
1,11,C03,M,00:14:30.77,0.182,B4
1,11,C04,M,00:14:31.66,0.159,C1
1,11,C05,M,00:14:32.55,0.140,C1
1,11,C06,M,00:14:33.44,0.138,C1
1,11,C07,M,00:14:34.33,0.155,C2
1,11,C08,M,00:14:35.22,0.143,C2
1,11,C09,M,00:14:36.11,0.142,C2
1,11,C10,M,00:14:37.00,0.237,D2
1,11,C11,M,00:14:37.89,0.237,D2
1,11,C12,M,00:14:38.78,0.241,D2
1,11,D01,M,00:14:42.11,0.214,D3
1,11,D02,M,00:14:43.00,0.210,D3
1,11,D03,M,00:14:43.89,0.209,D3
1,11,D04,M,00:14:44.77,0.220,A3
1,11,D05,M,00:14:45.66,0.218,A3
1,11,D06,M,00:14:46.55,0.222,A3
1,12,A01,M,00:15:25.15,0.077,GSH 0
1,12,A02,M,00:15:26.05,0.204,GSH 8
1,12,A03,M,00:15:26.94,0.351,GSH 16
1,12,A04,M,00:15:27.83,0.559,GSH 24
