Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,7,D11,M,00:28:36.17,0.196,
1,7,D12,M,00:28:37.06,0.183,
1,7,E01,M,00:28:40.40,0.381,
1,7,E02,M,00:28:41.28,0.344,
1,7,E03,M,00:28:42.17,0.343,
1,7,E04,M,00:28:43.06,0.129,
1,7,E05,M,00:28:43.95,0.150,
1,7,E06,M,00:28:44.84,0.141,
1,7,E07,M,00:28:45.73,0.223,
1,7,E08,M,00:28:46.62,0.209,
1,7,E09,M,00:28:47.51,0.213,
1,7,E10,M,00:28:48.40,0.257,
1,7,E11,M,00:28:49.29,0.252,
1,7,E12,M,00:28:50.17,0.242,
1,7,F01,M,00:28:53.51,0.179,
1,7,F02,M,00:28:54.40,0.163,
1,7,F03,M,00:28:55.28,0.163,
1,7,F04,M,00:28:56.17,0.457,
1,7,F05,M,00:28:57.06,0.455,
1,7,F06,M,00:28:57.95,0.427,
1,7,F07,M,00:28:58.84,0.190,
1,7,F08,M,00:28:59.73,0.161,
1,7,F09,M,00:29:00.62,0.172,
1,7,F10,M,00:29:01.51,0.741,
1,7,F11,M,00:29:02.40,0.903,
1,7,F12,M,00:29:03.29,0.674,
1,7,G01,M,00:29:06.62,0.235,
1,7,G02,M,00:29:07.51,0.219,
1,7,G03,M,00:29:08.40,0.219,
1,7,G04,M,00:29:09.28,0.089,
1,7,G05,M,00:29:10.17,0.090,
1,7,G06,M,00:29:11.06,0.090,
1,7,G07,M,00:29:11.95,0.111,
1,7,G08,M,00:29:12.84,0.095,
1,7,G09,M,00:29:13.73,0.172,
1,8,A01,M,00:32:22.83,0.074,
1,8,A02,M,00:32:23.73,0.076,
1,8,A03,M,00:32:24.61,0.081,
1,8,A04,M,00:32:25.50,0.097,
1,8,A05,M,00:32:26.39,0.150,
1,8,A06,M,00:32:27.28,0.222,
1,8,A07,M,00:32:28.17,0.163,
1,8,A08,M,00:32:29.06,0.174,
1,8,A09,M,00:32:29.95,0.159,
1,8,A10,M,00:32:30.84,0.175,
1,8,A11,M,00:32:31.73,0.181,
1,8,A12,M,00:32:32.61,0.176,
1,8,B01,M,00:32:35.95,0.174,
1,8,B02,M,00:32:36.84,0.191,
1,8,B03,M,00:32:37.73,0.175,
1,8,B04,M,00:32:38.61,0.167,
1,8,B05,M,00:32:39.50,0.180,
1,8,B06,M,00:32:40.39,0.168,
1,8,B07,M,00:32:41.28,0.162,
1,8,B08,M,00:32:42.17,0.186,
1,8,B09,M,00:32:43.06,0.092,
1,8,B10,M,00:32:43.95,0.234,
1,8,B11,M,00:32:44.84,0.210,
1,8,B12,M,00:32:45.73,0.210,
1,8,C01,M,00:32:49.06,0.230,
1,8,C02,M,00:32:49.95,0.225,
1,8,C03,M,00:32:50.84,0.227,
1,8,C04,M,00:32:51.73,0.423,
1,8,C05,M,00:32:52.61,0.403,
1,8,C06,M,00:32:53.50,0.430,
1,8,C07,M,00:32:54.39,0.167,
1,8,C08,M,00:32:55.28,0.154,
1,8,C09,M,00:32:56.17,0.172,
1,8,C10,M,00:32:57.06,0.231,
